Rank,Average Humidity,USAState,Population
1.,82.01%,Iowa ," 3,078,116"
2.,81.86%,New Hampshire ," 1,321,069"
3.,81.46%,Alaska ," 728,300"
4.,80.76%,Maine ," 1,328,535"
5.,80.74%,North Dakota ," 704,925"
6.,80.61%,Minnesota ," 5,383,661"
7.,80.54%,South Dakota ," 834,708"
8.,80.40%,Montana ," 1,006,370"
9.,80.36%,California ," 38,066,920"
10.,79.71%,Colorado ," 5,197,580"
11.,79.55%,Oregon ," 3,900,343"
12.,79.51%,Idaho ," 1,599,464"
13.,79.50%,Wyoming ," 575,251"
14.,79.40%,Arizona ," 6,561,516"
15.,79.37%,Kansas ," 2,882,946"
16.,79.34%,Connecticut ," 3,592,053"
17.,79.13%,Washington ," 6,899,123"
18.,78.87%,Nebraska ," 1,855,617"
19.,78.30%,West Virginia ," 1,853,881"
20.,78.26%,Nevada ," 2,761,584"
21.,78.11%,Pennsylvania ," 12,758,729"
22.,78.07%,Missouri ," 6,028,076"
23.,77.91%,Ohio ," 11,560,380"
24.,77.49%,District of Columbia ," 633,736"
25.,77.17%,Rhode Island ," 1,053,252"
26.,77.14%,Wisconsin ," 5,724,692"
27.,77.05%,North Carolina ," 9,750,405"
28.,77.05%,Florida ," 19,361,792"
29.,76.95%,Texas ," 26,092,033"
30.,76.94%,Illinois ," 12,868,747"
31.,76.92%,Arkansas ," 2,947,036"
32.,76.91%,Vermont ," 626,358"
33.,76.77%,Virginia ," 8,185,131"
34.,76.76%,Oklahoma ," 3,818,851"
35.,76.63%,New Mexico ," 2,080,085"
36.,76.49%,Alabama ," 4,817,678"
37.,76.42%,Kentucky ," 4,383,272"
38.,75.86%,Indiana ," 6,542,411"
39.,75.76%,Georgia ," 9,907,756"
40.,75.73%,Mississippi ," 2,984,345"
41.,75.71%,Louisiana ," 4,601,049"
42.,75.60%,New York ," 19,594,330"
43.,75.32%,Tennessee ," 6,451,365"
44.,75.08%,Massachusetts ," 6,657,291"
45.,74.85%,Utah ," 2,858,111"
46.,74.78%,Michigan ," 9,889,024"
47.,74.64%,Hawaii ," 1,392,704"
48.,74.62%,South Carolina ," 4,727,273"
49.,74.35%,Maryland ," 5,887,776"
50.,72.02%,Delaware ," 917,060"
51.,71.31%,New Jersey ," 8,874,374"
